#SECTION:PROJECT
key,value
name,I&E Facility
startup,2022-09-22
markerLabel,Baseline Complete

#SECTION:SCOPES
label,start,end,cost,progressValue,totalUnits,unitsLabel,percentComplete
Mobilization,2022-06-16,2022-06-16,20000,100,,%,100.0
Install Cable Tray,2022-06-20,2022-08-05,200000,100,,%,100.0
Install Conduit,2022-07-05,2022-07-21,100000,100,,%,100.0
Install Devices,2022-07-15,2022-08-09,50000,850,850,Qty,100.0
Install Control Cabinets,2022-07-18,2022-08-22,100000,5,5,Qty,100.0
Install MCC,2022-08-12,2022-08-22,300000,100,,%,100.0
Pull Cable,2022-07-13,2022-08-10,150000,100,,%,100.0
Install Grounding,2022-06-20,2022-08-29,200000,100,,%,100.0
Install Process Tubing,2022-07-25,2022-08-22,50000,100,,%,100.0
Final Terminations,2022-07-27,2022-08-26,50000,100,,%,100.0
Install Lighting,2022-08-15,2022-09-30,75000,100,,%,100.0
Demobilization,2022-10-07,2022-10-07,20000,100,,%,100.0

#SECTION:DAILY_ACTUALS
date,actualPct
2022-07-12,18
2022-08-20,88
2022-08-29,94.6
2022-10-07,100

#SECTION:HISTORY
date,actualPct

#SECTION:BASELINE
date,baseline_planned
2022-06-15,0
2022-06-16,1.520912547528517
2022-06-17,1.520912547528517
2022-06-18,1.520912547528517
2022-06-19,1.520912547528517
2022-06-20,2.058723996759458
2022-06-21,2.596535445990399
2022-06-22,3.13434689522134
2022-06-23,3.672158344452281
2022-06-24,4.209969793683222
2022-06-25,4.747781242914163
2022-06-26,5.285592692145104
2022-06-27,5.823404141376045
2022-06-28,6.361215590606986
2022-06-29,6.899027039837927
2022-06-30,7.436838489068868
2022-07-01,7.974649938299809
2022-07-02,8.51246138753075
2022-07-03,9.050272836761692
2022-07-04,9.588084285992634
2022-07-05,10.573222955084905
2022-07-06,11.558361624177174
2022-07-07,12.543500293269442
2022-07-08,13.528638962361711
2022-07-09,14.51377763145398
2022-07-10,15.498916300546249
2022-07-11,16.484054969638517
2022-07-12,17.469193638730786
2022-07-13,18.847671759770087
2022-07-14,20.226149880809388
2022-07-15,21.750869592957198
2022-07-16,23.275589305105008
2022-07-17,24.800309017252818
2022-07-18,26.536266583224034
2022-07-19,28.27222414919525
2022-07-20,30.008181715166465
2022-07-21,31.74413928113768
2022-07-22,33.03276962724757
2022-07-23,34.32139997335746
2022-07-24,35.61003031946735
2022-07-25,37.029773816226246
2022-07-26,38.449517312985144
2022-07-27,39.991915047447954
2022-07-28,41.534312781910764
2022-07-29,43.07671051637357
2022-07-30,44.61910825083638
2022-07-31,46.16150598529919
2022-08-01,47.703903719762
2022-08-02,49.24630145422481
2022-08-03,50.78869918868762
2022-08-04,52.33109692315043
2022-08-05,53.87349465761324
2022-08-06,55.09229397770828
2022-08-07,56.311093297803325
2022-08-08,57.52989261789837
2022-08-09,58.748691937993414
2022-08-10,59.821249666979945
2022-08-11,60.50046794401944
2022-08-12,63.25365787677965
2022-08-13,66.00684780953985
2022-08-14,68.76003774230006
2022-08-15,71.63457708044818
2022-08-16,74.5091164185963
2022-08-17,77.38365575674443
2022-08-18,80.25819509489256
2022-08-19,83.13273443304068
2022-08-20,86.0072737711888
2022-08-21,88.88181310933693
2022-08-22,91.75635244748506
2022-08-23,92.21456912544005
2022-08-24,92.67278580339504
2022-08-25,93.13100248135004
2022-08-26,93.58921915930503
2022-08-27,93.92478159955611
2022-08-28,94.2603440398072
2022-08-29,94.59590648005828
2022-08-30,94.71725588544619
2022-08-31,94.83860529083411
2022-09-01,94.95995469622203
2022-09-02,95.08130410160994
2022-09-03,95.20265350699786
2022-09-04,95.32400291238578
2022-09-05,95.4453523177737
2022-09-06,95.56670172316161
2022-09-07,95.68805112854953
2022-09-08,95.80940053393745
2022-09-09,95.93074993932537
2022-09-10,96.05209934471328
2022-09-11,96.1734487501012
2022-09-12,96.29479815548912
2022-09-13,96.41614756087704
2022-09-14,96.53749696626495
2022-09-15,96.65884637165287
2022-09-16,96.78019577704079
2022-09-17,96.9015451824287
2022-09-18,97.02289458781662
2022-09-19,97.14424399320454
2022-09-20,97.26559339859246
2022-09-21,97.38694280398038
2022-09-22,97.50829220936829
2022-09-23,97.62964161475621
2022-09-24,97.75099102014413
2022-09-25,97.87234042553204
2022-09-26,97.99368983091996
2022-09-27,98.11503923630788
2022-09-28,98.2363886416958
2022-09-29,98.35773804708371
2022-09-30,98.47908745247163
2022-10-01,98.47908745247163
2022-10-02,98.47908745247163
2022-10-03,98.47908745247163
2022-10-04,98.47908745247163
2022-10-05,98.47908745247163
2022-10-06,98.47908745247163
2022-10-07,100

#SECTION:DAILY_SERIES
date,baseline_cumulative,planned_cumulative,actual_cumulative
2022-06-15,0.0,0.0,0.0
2022-06-16,1.5,1.5,0.7
2022-06-17,1.5,1.5,1.3
2022-06-18,1.5,1.5,2.0
2022-06-19,1.5,1.5,2.7
2022-06-20,2.1,2.1,3.3
2022-06-21,2.6,2.6,4.0
2022-06-22,3.1,3.1,4.7
2022-06-23,3.7,3.7,5.3
2022-06-24,4.2,4.2,6.0
2022-06-25,4.7,4.7,6.7
2022-06-26,5.3,5.3,7.3
2022-06-27,5.8,5.8,8.0
2022-06-28,6.4,6.4,8.7
2022-06-29,6.9,6.9,9.3
2022-06-30,7.4,7.4,10.0
2022-07-01,8.0,8.0,10.7
2022-07-02,8.5,8.5,11.3
2022-07-03,9.1,9.1,12.0
2022-07-04,9.6,9.6,12.7
2022-07-05,10.6,10.6,13.3
2022-07-06,11.6,11.6,14.0
2022-07-07,12.5,12.5,14.7
2022-07-08,13.5,13.5,15.3
2022-07-09,14.5,14.5,16.0
2022-07-10,15.5,15.5,16.7
2022-07-11,16.5,16.5,17.3
2022-07-12,17.5,17.5,18.0
2022-07-13,18.8,18.8,19.8
2022-07-14,20.2,20.2,21.6
2022-07-15,21.8,21.8,23.4
2022-07-16,23.3,23.3,25.2
2022-07-17,24.8,24.8,27.0
2022-07-18,26.5,26.5,28.8
2022-07-19,28.3,28.3,30.6
2022-07-20,30.0,30.0,32.4
2022-07-21,31.7,31.7,34.2
2022-07-22,33.0,33.0,35.9
2022-07-23,34.3,34.3,37.7
2022-07-24,35.6,35.6,39.5
2022-07-25,37.0,37.0,41.3
2022-07-26,38.4,38.4,43.1
2022-07-27,40.0,40.0,44.9
2022-07-28,41.5,41.5,46.7
2022-07-29,43.1,43.1,48.5
2022-07-30,44.6,44.6,50.3
2022-07-31,46.2,46.2,52.1
2022-08-01,47.7,47.7,53.9
2022-08-02,49.2,49.2,55.7
2022-08-03,50.8,50.8,57.5
2022-08-04,52.3,52.3,59.3
2022-08-05,53.9,53.9,61.1
2022-08-06,55.1,55.1,62.9
2022-08-07,56.3,56.3,64.7
2022-08-08,57.5,57.5,66.5
2022-08-09,58.7,58.7,68.3
2022-08-10,59.8,59.8,70.1
2022-08-11,60.5,60.5,71.8
2022-08-12,63.3,63.3,73.6
2022-08-13,66.0,66.0,75.4
2022-08-14,68.8,68.8,77.2
2022-08-15,71.6,71.6,79.0
2022-08-16,74.5,74.5,80.8
2022-08-17,77.4,77.4,82.6
2022-08-18,80.3,80.3,84.4
2022-08-19,83.1,83.1,86.2
2022-08-20,86.0,86.0,88.0
2022-08-21,88.9,88.9,88.7
2022-08-22,91.8,91.8,89.5
2022-08-23,92.2,92.2,90.2
2022-08-24,92.7,92.7,90.9
2022-08-25,93.1,93.1,91.7
2022-08-26,93.6,93.6,92.4
2022-08-27,93.9,93.9,93.1
2022-08-28,94.3,94.3,93.9
2022-08-29,94.6,94.6,94.6
2022-08-30,94.7,94.7,94.7
2022-08-31,94.8,94.8,94.9
2022-09-01,95.0,95.0,95.0
2022-09-02,95.1,95.1,95.2
2022-09-03,95.2,95.2,95.3
2022-09-04,95.3,95.3,95.4
2022-09-05,95.4,95.4,95.6
2022-09-06,95.6,95.6,95.7
2022-09-07,95.7,95.7,95.8
2022-09-08,95.8,95.8,96.0
2022-09-09,95.9,95.9,96.1
2022-09-10,96.1,96.1,96.3
2022-09-11,96.2,96.2,96.4
2022-09-12,96.3,96.3,96.5
2022-09-13,96.4,96.4,96.7
2022-09-14,96.5,96.5,96.8
2022-09-15,96.7,96.7,97.0
2022-09-16,96.8,96.8,97.1
2022-09-17,96.9,96.9,97.2
2022-09-18,97.0,97.0,97.4
2022-09-19,97.1,97.1,97.5
2022-09-20,97.3,97.3,97.6
2022-09-21,97.4,97.4,97.8
2022-09-22,97.5,97.5,97.9
2022-09-23,97.6,97.6,98.1
2022-09-24,97.8,97.8,98.2
2022-09-25,97.9,97.9,98.3
2022-09-26,98.0,98.0,98.5
2022-09-27,98.1,98.1,98.6
2022-09-28,98.2,98.2,98.8
2022-09-29,98.4,98.4,98.9
2022-09-30,98.5,98.5,99.0
2022-10-01,98.5,98.5,99.2
2022-10-02,98.5,98.5,99.3
2022-10-03,98.5,98.5,99.4
2022-10-04,98.5,98.5,99.6
2022-10-05,98.5,98.5,99.7
2022-10-06,98.5,98.5,99.9
