#SECTION:PROJECT
key,value
name,Pipeline
startup,2025-12-20
markerLabel,Baseline Complete

#SECTION:SCOPES
label,start,end,cost,progressValue,totalUnits,unitsLabel,percentComplete
Mobilization,2025-08-25,2025-09-13,4.4,100,,%,100.0
Mats/Clear/Grade ROW,2025-09-05,2025-10-04,9.9,143288,143288,Feet,100.0
String Pipe,2025-09-11,2025-10-17,2.7,143288,143288,Feet,100.0
Weld Pipe,2025-09-22,2025-10-22,9.5,143288,143288,Feet,100.0
Coat Pipe,2025-09-24,2025-11-03,2,110200,143288,Feet,76.9
Trenching,2025-09-25,2025-11-04,29.8,117679,143288,Feet,82.1
Bores,2025-09-25,2025-11-06,20.8,18,,%,18.0
Lower-In/Backfill,2025-09-30,2025-11-08,1.6,64868,143288,Feet,45.3
Tie-Ins,2025-10-09,2025-11-17,4.6,37,,%,37.0
Clean Up ROW,2025-11-10,2026-01-22,3.6,2500,143288,Feet,1.7
Site - Concrete Civil,2025-10-06,2025-10-16,0.6,15,,%,15.0
Site - Pipe prefab,2025-10-23,2025-11-03,1.3,6,,%,6.0
Site - Hot Taps,2025-11-04,2025-11-10,0.4,0,,%,0.0
Site - Pipe Install,2025-11-04,2025-11-10,0.4,0,,%,0.0
Site - Paint,2025-12-16,2026-01-21,0.3,0,,%,0.0
Final Bolt Up,2025-12-15,2025-12-17,0.3,0,,%,0.0
Hydrotest,2025-11-18,2025-12-15,6.6,0,,%,0.0
Seeding,2026-01-23,2026-02-05,0.6,0,,%,0.0
Demobilization,2026-01-22,2026-01-24,0.6,0,,%,0.0

#SECTION:DAILY_ACTUALS
date,actualPct
2025-08-25,0.2
2025-08-26,0.2
2025-08-27,0.2
2025-08-28,0.2
2025-08-29,0.2
2025-08-30,0.2
2025-08-31,0.2
2025-09-01,0.2
2025-09-02,0.2
2025-09-03,0.4
2025-09-04,1.2
2025-09-05,1.7
2025-09-06,2.3
2025-09-07,2.3
2025-09-08,2.3
2025-09-09,2.3
2025-09-10,4.2
2025-09-11,4.9
2025-09-12,6.7
2025-09-13,7.2
2025-09-14,7.2
2025-09-15,8.6
2025-09-16,10.3
2025-09-17,10.8
2025-09-18,11.6
2025-09-20,13.3
2025-09-21,13.3
2025-09-22,13.7
2025-09-23,14.2
2025-09-24,16.6
2025-09-25,17.6
2025-09-26,19.1
2025-09-27,20.5
2025-09-29,21.7
2025-09-30,22.8
2025-10-01,24.5
2025-10-02,26.2
2025-10-03,27.9
2025-10-04,28.5
2025-10-05,29.7
2025-10-06,29.7
2025-10-07,31.5
2025-10-08,33.1
2025-10-09,35.3
2025-10-10,37.1
2025-10-11,39.9
2025-10-12,39.9
2025-10-13,42.2
2025-10-14,45.4
2025-10-23,46.4
2025-10-24,48
2025-10-25,50
2025-10-26,50
2025-10-27,51.7
2025-10-28,52.4
2025-10-29,54
2025-10-30,56.3
2025-10-31,57.9
2025-11-01,59
2025-11-03,58.91333420802861

#SECTION:HISTORY
date,actualPct
2025-11-03,58.91333420802861

#SECTION:BASELINE
date,baseline_planned
2025-08-24,0
2025-08-25,0.22000000000000014
2025-08-26,0.4400000000000003
2025-08-27,0.6600000000000004
2025-08-28,0.8800000000000006
2025-08-29,1.1000000000000008
2025-08-30,1.320000000000001
2025-08-31,1.5400000000000011
2025-09-01,1.7600000000000013
2025-09-02,1.9800000000000015
2025-09-03,2.2000000000000015
2025-09-04,2.4200000000000017
2025-09-05,2.970000000000002
2025-09-06,3.5200000000000022
2025-09-07,4.070000000000002
2025-09-08,4.620000000000003
2025-09-09,5.1700000000000035
2025-09-10,5.720000000000004
2025-09-11,6.342972972972977
2025-09-12,6.9659459459459505
2025-09-13,7.588918918918924
2025-09-14,7.991891891891897
2025-09-15,8.39486486486487
2025-09-16,8.797837837837843
2025-09-17,9.200810810810816
2025-09-18,9.60378378378379
2025-09-19,10.006756756756763
2025-09-20,10.409729729729737
2025-09-21,10.81270270270271
2025-09-22,11.52212728857891
2025-09-23,12.231551874455109
2025-09-24,12.989756948136186
2025-09-25,14.958512220342506
2025-09-26,16.927267492548825
2025-09-27,18.896022764755145
2025-09-28,20.864778036961464
2025-09-29,22.833533309167784
2025-09-30,24.842288581374103
2025-10-01,26.85104385358042
2025-10-02,28.85979912578674
2025-10-03,30.86855439799306
2025-10-04,32.87730967019938
2025-10-05,34.5560649424057
2025-10-06,36.28936566915747
2025-10-07,38.02266639590924
2025-10-08,39.75596712266101
2025-10-09,41.604267849412786
2025-10-10,43.45256857616456
2025-10-11,45.30086930291633
2025-10-12,47.149170029668106
2025-10-13,48.99747075641988
2025-10-14,50.84577148317165
2025-10-15,52.694072209923426
2025-10-16,54.5423729366752
2025-10-17,56.33612820888152
2025-10-18,58.05691050811487
2025-10-19,59.77769280734822
2025-10-20,61.498475106581566
2025-10-21,63.219257405814915
2025-10-22,64.94003970504826
2025-10-23,66.46270372471172
2025-10-24,67.98536774437517
2025-10-25,69.50803176403862
2025-10-26,71.03069578370207
2025-10-27,72.55335980336552
2025-10-28,74.07602382302898
2025-10-29,75.59868784269243
2025-10-30,77.12135186235588
2025-10-31,78.64401588201933
2025-11-01,80.16667990168278
2025-11-02,81.68934392134624
2025-11-03,83.21200794100969
2025-11-04,84.69184385382064
2025-11-05,85.44485049833892
2025-11-06,86.1978571428572
2025-11-07,86.46714285714292
2025-11-08,86.73642857142863
2025-11-09,86.96571428571434
2025-11-10,87.2436486486487
2025-11-11,87.40729729729735
2025-11-12,87.570945945946
2025-11-13,87.73459459459464
2025-11-14,87.89824324324329
2025-11-15,88.06189189189193
2025-11-16,88.22554054054058
2025-11-17,88.38918918918922
2025-11-18,88.67355212355216
2025-11-19,88.95791505791509
2025-11-20,89.24227799227802
2025-11-21,89.52664092664095
2025-11-22,89.81100386100388
2025-11-23,90.09536679536681
2025-11-24,90.37972972972975
2025-11-25,90.66409266409268
2025-11-26,90.94845559845561
2025-11-27,91.23281853281854
2025-11-28,91.51718146718147
2025-11-29,91.8015444015444
2025-11-30,92.08590733590734
2025-12-01,92.37027027027027
2025-12-02,92.6546332046332
2025-12-03,92.93899613899613
2025-12-04,93.22335907335906
2025-12-05,93.507722007722
2025-12-06,93.79208494208493
2025-12-07,94.07644787644786
2025-12-08,94.36081081081079
2025-12-09,94.64517374517372
2025-12-10,94.92953667953665
2025-12-11,95.21389961389959
2025-12-12,95.49826254826252
2025-12-13,95.78262548262545
2025-12-14,96.06698841698838
2025-12-15,96.45135135135132
2025-12-16,96.60810810810808
2025-12-17,96.76486486486485
2025-12-18,96.8216216216216
2025-12-19,96.87837837837836
2025-12-20,96.93513513513511
2025-12-21,96.99189189189187
2025-12-22,97.04864864864862
2025-12-23,97.10540540540538
2025-12-24,97.16216216216213
2025-12-25,97.21891891891889
2025-12-26,97.27567567567564
2025-12-27,97.3324324324324
2025-12-28,97.38918918918915
2025-12-29,97.44594594594591
2025-12-30,97.50270270270266
2025-12-31,97.55945945945942
2026-01-01,97.61621621621617
2026-01-02,97.67297297297293
2026-01-03,97.72972972972968
2026-01-04,97.78648648648644
2026-01-05,97.8432432432432
2026-01-06,97.89999999999995
2026-01-07,97.9567567567567
2026-01-08,98.01351351351346
2026-01-09,98.07027027027021
2026-01-10,98.12702702702697
2026-01-11,98.18378378378372
2026-01-12,98.24054054054048
2026-01-13,98.29729729729723
2026-01-14,98.35405405405399
2026-01-15,98.41081081081074
2026-01-16,98.4675675675675
